screen_name,text,date,neg,neu,pos,compound
BLKLIVESMATTER,"On this day, 31 years ago, Nelson Mandela was released from prison. For 27 years, he was imprisoned for pursuing a fight against peace, democracy, and freedom in South Africa. We honor you today and the inspiration you have left us with. #BlackHistoryMatters",2021-02-11 21:22:22,0.15,0.608,0.242,0.7506
BLKLIVESMATTER,"Benjamin Elijah Mays, born 1894, was known as the “Schoolmaster of the Movement” and intellectual mentor of many Civil Rights activists. We honor his work as an educator, mentor, and spiritual leader.
#BlackHistoryMatters",2021-02-10 19:42:10,0.0,0.827,0.173,0.7579
BLKLIVESMATTER,"RT @blmcanada_: We are announcing the Canada Black Mutual Aid Fund.  BLM-CA has raised $250,000 to distribute 1,000 microgrants to Black pe…",2021-02-10 17:39:06,0.0,1.0,0.0,0.0
BLKLIVESMATTER,Demand 7: Pass the #BREATHEAct. The police were born out of slave patrols. We can't reform an institution built upon white supremacy. We need a new radical approach to public safety &amp; community investment. @JoeBiden has already drawn on the BREATHE Act in some executive actions.,2021-02-09 15:53:26,0.031,0.887,0.082,0.3612
BLKLIVESMATTER,Demand 6: Don’t let the coup be used as an excuse to crack down on our movement. The proposed Domestic Terrorism Prevention Act of 2021 will be used to target Black and brown communities. We’ve seen this before. This is NOT what we need.,2021-02-09 15:53:26,0.126,0.847,0.027,-0.7003
BLKLIVESMATTER,"Demand 5: Defund the police. Always. Reform won’t work, how can we make it clearer? If y’all still don’t get this….we urge you to watch the footage once more and imagine what the scene would have looked like had these been Black folks.",2021-02-09 15:53:26,0.033,0.911,0.056,0.25
BLKLIVESMATTER,Demand 4: Permanently ban Trump from all digital media platforms. Twitter: done. The rest of y’all?,2021-02-09 15:53:26,0.267,0.733,0.0,-0.6249
FRIDAY4FUTURE,"RT @ECOWARRIORSS: Between wind wave solar, geothermal there is enough potential renewable to power 2 Earths but fossil fuel industry would…",2021-02-18 10:24:48,0.0,1.0,0.0,0.0
FRIDAY4FUTURE,"RT @sumuelahi: Sustainable living #ClimateJustice 
More physical activities &amp; healthy actions can b d way of #ClimateSolutions! 🙌
#gocyclin…",2021-02-18 10:24:16,0.0,0.864,0.136,0.4574
FRIDAY4FUTURE,"RT @EEAthina: 🫒 Η «Ευρωπαϊκή Πράσινη Συμφωνία» #EUGreenDeal
🇬🇷 στην Θεσσαλονίκη και το Ηράκλειο Κρήτης 
🚍 οι αστικές συγκοινωνίες «ντύθηκαν…",2021-02-18 10:23:45,0.0,1.0,0.0,0.0
FRIDAY4FUTURE,RT @TrashHaters: @HoBeeiNG @tgtito @RichardMunang @The_Upcycle_Arc @Naasreeen @modisalihijo @gifsep4climate @COP26 @SeanMelbourne2 @Stop_Do…,2021-02-18 10:23:23,0.0,1.0,0.0,0.0
FRIDAY4FUTURE,"RT @EU_ENV: Since 2017, the #CleanAirEU dialogues help us to take actions for reducing #AirPollution together with 🇪🇺 countries

After 🇮🇪🇱🇺…",2021-02-09 12:43:25,0.0,0.881,0.119,0.4019
FRIDAY4FUTURE,"RT @GretaThunberg: ""The world’s state-owned fossil fuel companies are poised to invest about $1.9tn in the next decade in projects that wou…",2021-02-09 11:22:02,0.0,0.913,0.087,0.25
FRIDAY4FUTURE,"RT @NBCBayWeather: In 2020, the Bay Area endured a record number of spare the air days. Smoke from a record fire season filled our skies an…",2021-02-09 11:15:05,0.087,0.866,0.047,-0.2732
FRIDAY4FUTURE,"RT @GreenAwakening: ""A massive search-and-rescue operation was underway Sunday in northern India for at least 140 people missing after part…",2021-02-09 11:14:53,0.104,0.896,0.0,-0.296
FRIDAY4FUTURE,"RT @dw_environment: City trees lower ambient temperatures and improve air quality. But climate change poses a threat to them. In Berlin, a…",2021-02-09 11:12:30,0.228,0.7,0.072,-0.6428
FRIDAY4FUTURE,RT @dw_environment: Our answers are in nature 🌲✌️ https://t.co/VBoqaTQoi5,2021-02-09 11:12:21,0.0,1.0,0.0,0.0
FRIDAY4FUTURE,"RT @GaonConnectionE: #UttarakhandGlacierBurst While rescue works are underway in #Chamoli #Uttarakhand, ripples of alarm of #UttarakhandDis…",2021-02-09 11:12:00,0.122,0.711,0.168,0.2263
FRIDAY4FUTURE,RT @EcoDev5: Good morning 🤗🤗 winter sun ☀️❄️ Have a good day ❤️❄️ #TuesdayFeeling #tuesdayvibe #tuesdaymotivations https://t.co/AE3VTZi0HX,2021-02-09 11:09:47,0.0,0.625,0.375,0.886
